분기별,전입인구,소비자물가지수,취업자수,청년고용률,예금은행예금액,예금은행대출금액,광공업생산지수,서비스업생산지수,건설투자증감률,국내총투자율,설비투자총지수,민간소비증감률,수출액,경제성장률,고용
2010. 2/4,56362,91.539,766.2,39.2,10925.5,13446.4,65.119,84.2,-4.3,31.4,86.7,0.9,1323,1.9,1
2010. 3/4,53813,92.213,766.3,38.8,11073.8,13409.7,63.932,83.2,-1.4,32.1,91.7,1,1353,1.2,1
2010. 4/4,61836,92.825,745,36.3,11318.1,13527.4,67.133,87.4,1.1,33.4,91,0.8,1277,1.2,0
2011. 1/4,64993,94.845,714.7,37.6,11953.9,13806.8,66.306,85.1,-2.2,33.9,91,1.2,1288,0.9,0
2011. 2/4,53808,95.487,790,41.1,12447.2,14029.2,75.191,89,-0.1,34.7,92.6,0.7,1219,0.5,1
2011. 3/4,53073,96.497,778.4,39.1,12417.4,14132,70.102,89.4,-0.3,31.3,94.6,-0.2,1254,0.5,1
2011. 4/4,56720,96.65,752.4,36.6,12893.8,14453.6,73.558,92.4,2.2,32.9,89.3,0.2,1376,0.5,0
2012. 1/4,60648,97.403,712.9,35.3,13481.9,14454.8,71.947,89.2,-4.3,33.6,96.9,0.6,1353,0.9,0
2012. 2/4,50499,97.718,790.9,36.4,13866.8,14830.3,77.29,91.9,-1.7,32,90.3,0.3,1437,0.6,1
2012. 3/4,48592,97.813,780.6,37.7,13678.1,15173.3,74.131,91.8,0.5,29.7,87.1,1,1515,0.5,1
2012. 4/4,52524,98.076,757.2,35.9,13335.2,15672.7,78.075,94.2,1.6,29.1,85.3,0.3,1410,0.5,0
2013. 1/4,57511,98.817,723,36.9,14036.7,15925.6,86.408,90.8,2.4,30.1,85.7,-0.3,1544,0.9,0
2013. 2/4,53480,98.808,806.1,39.1,14549.2,16500.2,91.497,93.8,4.6,29,85.9,0.9,1641,1.2,1
2013. 3/4,49030,99.218,807.8,39.3,14227.8,16756.9,92.918,93.1,-1.1,29.8,90.7,0.8,1531,0.9,1
2013. 4/4,55952,99.074,799.6,40.5,14145.8,17211.7,97.01,96.9,-0.5,30.1,93,0.7,1581,0.8,1
2014. 1/4,55266,99.989,769.4,40.7,14529.3,17560,88.401,93.4,0.9,29.5,92.8,0.5,1612,0.9,1
2014. 2/4,55841,100.283,842.7,40.9,15141.4,17904.4,92.812,96.5,0.7,29.4,93,0,1741,0.8,1
2014. 3/4,50030,100.512,851.3,43.4,15070.5,18277.9,94.678,96.7,0.8,30.4,92.3,0.4,1871,0.3,1
2014. 4/4,54807,99.83,827,41.6,15124.3,19076.8,99.279,100.5,-2.4,29.4,97.7,0.4,1882,0.4,1
2015. 1/4,58336,100.02,786.6,39.6,15789.3,19508.8,96.6,96.2,5.3,29,99.3,0.8,1921,0.8,1
2015. 2/4,52941,100.06,850.6,41.1,16343.3,19853.7,99.9,99.5,2.2,29.1,96.7,0.2,1911,0.4,1
2015. 3/4,48217,100.1,861.4,42.8,16859.9,20382,100.3,99.6,2.6,30.1,103.4,0.6,1679,1.5,1
2015. 4/4,55132,99.82,858,42.8,16285.4,21044.6,103.2,104.6,-0.4,29.9,100.7,1.9,2034,0.7,1
2016. 1/4,56844,100.22,807.8,41.2,16948.9,20894.1,100.9,99.1,5.1,28.3,95.3,-0.1,1852,0.3,1
2016. 2/4,47235,100.41,854.7,42,17329.5,21336.7,110.9,103.6,1.8,30.2,100.4,0.8,2043,1.1,1
2016. 3/4,45691,100.6,861.6,42.7,17644,21780.9,108.4,103.5,3.1,31.1,102.8,0.5,1977,0.5,1
2016. 4/4,52909,101.04,854.6,42,17522.2,22070,122.6,108.1,0.7,30.9,106.7,0.3,1960,0.6,1
2017. 1/4,56813,102.53,812.3,40,17969.6,22112.6,115.3,103.4,4.5,31.3,111.4,0.6,2217,1,1
2017. 2/4,46027,102.32,876.5,44.9,18619.6,22349.7,115.2,107.4,0.6,32.7,118,1.2,1993,0.7,1
2017. 3/4,47148,102.74,883.6,44.9,19277.9,22763.6,118.6,108.4,1,32.3,120.2,0.9,1739,1.5,1
2017. 4/4,47189,102.72,869.9,44,18707.2,23178.8,112.7,110.9,-2.9,32.8,117.4,0.6,1720,-0.3,1
2018. 1/4,60156,103.68,833,44,19204.8,23830.8,110.7,107.8,1.5,31.8,124,1.3,1547,1.1,1
2018. 2/4,47915,104.07,896.2,45,20360.4,24228.1,119.3,111.7,-3.3,32,113.3,0.2,2208,0.6,1
2018. 3/4,45602,104.59,895.6,47.1,20553.5,24565.8,116.8,111.3,-4.5,30.6,108.6,0.5,1989,0.7,1
2018. 4/4,65213,104.69,880.4,45.9,19412.9,25028.7,124.3,115.9,0.4,31.5,105.6,0.8,2299,0.8,1
2019. 1/4,60121,104.23,850.2,43.6,20729.2,25247,116.8,110,-0.2,31,102,0.2,2146,-0.2,1
2019. 2/4,45965,104.68,890.6,43.1,21934.7,25388.5,124.2,114.7,2.4,32.4,104.1,0.7,2267,1,1
2019. 3/4,46180,104.6,894.8,43.2,22140.7,25928.5,117.7,114,-3.3,31.1,106.2,0.5,2720,0.4,1
2019. 4/4,59130,105.05,884.8,43.9,21582.6,26399.9,121.1,119.6,5.3,30.7,109.8,0.9,2315,1.3,1
2020. 1/4,63270,105.58,869.7,43.1,22690.2,26649.3,111.9,110.6,0.1,31.3,108.7,-6.6,2179,-1.3,1
2020. 2/4,53778,104.59,902.1,43.9,24148.8,27493.3,107,111.9,-2.9,33.1,111.6,1.2,2715,-3.2,1
2020. 3/4,50215,105.28,901.4,43.2,24222.2,28001.4,111.9,113.6,-3.9,31.2,114,0.2,2026,2.2,1
2020. 4/4,62632,105.26,886.6,43.4,23634.2,28669.1,123.8,119,3.5,31,114.9,-1.3,2236,1.1,1
2021. 1/4,61906,106.93,859,46.1,24781.3,29239.8,120.4,115.3,1.3,31,122.8,1.2,2146,1.7,1
